DBN,Printed_Name,BUS,SUBWAY
01M292,Henry St School for International Studies,M14AD  M15  M21  M22  M9,J  M  Z to Delancey St; to Essex St;  F to East Broadway;  B  D to Grand St
01M448,University Neighborhood High School,M14AD  M15  M21  M22  M9,J  M  Z to Delancey St; to Essex St;  F to East Broadway
01M450,East Side Community School,M1  M101  M103  M14AD  M15  M15-SBS  M23  M3  M8  M9,L to 1 Av;  6 to Astor Pl
01M509,Marta Valle High School,M103  M14AD  M15  M15-SBS  M21  M22  M8  M9,F  J  M  Z to Delancey St; to Essex St;  B  D to Grand St
01M539,New Explorations into Science  Technology and Math High School,M14AD  M21  M22  M8  M9,F  J  M  Z to Delancey St; to Essex St
01M696,Ba High School Early College,M14AD  M21  M22  M8  M9,B  D to Grand St; F  J  M  Z to Delancey St; to Essex St; L to 1 Av
02M047,The American Sign Language and English Secondary School,M1  M101  M14AD  M15  M2  M23  M34A-SBS  M9,4  5  Q to Union Sq - 14 St;  6  N  R to 23 St;  L to 3 Av
02M288,Food and Finance High School,M11  M20  M31  M34A-SBS  M42  M50  M57,C  E to 50 St
02M294,Essex St Academy,M103  M14AD  M15  M15-SBS  M21  M22  M9,F  J  M  Z to Delancey St; to Essex St;  B  D to Grand St
02M296,High School of Hospitality Management,M11  M20  M31  M34A-SBS  M42  M50  M57,C  E to 50 St
02M298,PACE High School,M103  M14AD  M15  M22  M5  M9,J  Z to Bowery;  6  N  Q  R to Canal St;  M to Delancey St; to Essex St;  F to East Broadway;  B  D to Grand St
02M300,The Urban Assembly School of Design and Construction,M11  M20  M31  M34A-SBS  M42  M50  M57,C  E to 50 St
02M303,The Facing History School,M11  M20  M31  M34A-SBS  M42  M50  M57,C  E to 50 St
02M305,The Urban Assembly Academy of Government and Law,M103  M14AD  M15  M15-SBS  M21  M22  M9,F  J  M  Z to Delancey St; to Essex St;  B  D to Grand St
02M308,Lower Manhattan Arts Academy,M103  M14AD  M15  M15-SBS  M21  M22  M9,F  J  M  Z to Delancey St; to Essex St;  B  D to Grand St
02M316,The Urban Assembly School of Business for Young Women,M15  M15-SBS  M20  M5,4  5 to Bowling Green;  J  Z to Broad St;  A  C to Fulton St - Broadway - Nassau;  1  R to Rector St;  2  3 to Wall St;  1  R to Whitehall;  E to World Trade Center
02M374,Gramercy Arts High School,M1  M101  M103  M14AD  M15  M2  M23  M3  M34A-SBS  M5  M8  M9,1  2  3  F  M to 14 St;  4  5  6  L  N  Q  R to Union Sq - 14 St;  L to 3 Av
02M376,NYC iSchool,M20  M21  M5,B  D  F  M to Broadway-Lafayette St;  1  6  A  J  N  Q  R  Z to Canal St;  N  R to Prince St;  C  E to Spring St
02M392,Manhattan Business Academy,M11  M14AD  M20  M23  M5  M7,2  3  F  M to 14 St;  A  C  E  L to 14 St - 8 Av;  1 to 18 St
02M393,Business of Sports School,M10  M104  M11  M20  M31  M34A-SBS  M42  M50  M57  M7,A to 42 St - Port Authority Bus Terminal;  N  Q  R to 49 St;  1  C  E to 50 St;  B  D to 59 St - Columbus Circle;  B  D to 7 Av
02M399,The High School for Language and Diplomacy,M1  M101  M103  M14AD  M15  M2  M23  M3  M34A-SBS  M5  M8  M9,1  2  3  F  M to 14 St;  4  5  6  L  N  Q  R to Union Sq - 14 St;  L to 3 Av
02M400,High School for Environmental Studies,M10  M104  M11  M20  M31  M5  M50  M57  M66  M7,E to 50 St;  N  Q  R to 57 St -  7 Av;  1  A  B  C  D to 59 St - Columbus Circle
02M407,Institute for Collaborative Education,M1  M101  M103  M14AD  M15  M2  M23  M3  M34A-SBS  M8  M9,4  5  6  N  Q  R to Union Sq - 14 St;  L to 1 Av
02M408,Professional Performing Arts High School,M10  M104  M11  M20  M31  M34A-SBS  M42  M5  M50  M57  M7,A to 42 St - Port Authority Bus Terminal;  F  M to 47 - 50 Sts Rockefeller Center;  N  Q  R to 49 St;  1  C  E to 50 St;  B  D to 7 Av;  2  3  7  S to Times Sq - 42nd St
02M411,Baruch College Campus High School,M1  M101  M15  M2  M23  M3  M34A-SBS  M4  M5,4  5  L  Q to Union Sq - 14 St;  6  F  M  N  R to 23 St;  B  D to 34 St - Herald Sq
02M412,NYC Lab School for Collaborative Studies,M11  M14AD  M20  M23  M5  M7,2  3  F  M to 14 St;  A  C  E  L to 14 St - 8 Av;  1 to 18 St
02M413,School of the Future High School,M1  M101  M14AD  M15  M2  M23  M34A-SBS  M5  M9,4  5  L  Q to Union Sq - 14 St;  6  F  M  N  R to 23 St
02M414,NYC Museum School,M11  M14AD  M20  M23  M5  M7,2  3  F  M to 14 St;  A  C  E  L to 14 St - 8 Av;  1 to 18 St
02M416,Eleanor Roosevelt High School,M101  M15  M31  M66  M72  M79  M86  M98  Q102,6 to 77 St
02M418,Millennium High School,M15  M15-SBS  M20  M5,4  5 to Bowling Green;  J  Z to Broad St;  A  C to Fulton St - Broadway - Nassau;  2  3 to Wall St;  1  R to Whitehall;  E to World Trade Center
02M419,Landmark High School,M11  M14AD  M20  M23  M5  M7,2  3  F  M to 14 St;  A  C  E  L to 14 St - 8 Av;  1 to 18 St
02M420,High School for Health Professions and Human Services,M1  M101  M103  M14AD  M15  M2  M23  M3  M34A-SBS  M8  M9,4  5  6  N  Q  R to Union Sq - 14 St;  L to 1 Av
02M422,Quest to Learn,M11  M14AD  M20  M23  M5  M7,2  3  F  M to 14 St;  A  C  E  L to 14 St - 8 Av;  1 to 18 St
02M425,Leadership and Public Service High School,M15  M15-SBS  M20  M22  M5  M9,J  Z to Broad St;  6 to Brooklyn Bridge - City Hall;  2  3  A  C to Fulton St - Broadway - Nassau;  1  R to Rector St;  4  5 to Wall St;  E to World Trade Center
